time,DP,TP,AP,BP,GP,KI
3.42,18100.04,7635.62,3282.60,1555.41,4583.41,66.38
6.34,25754.23,10172.80,4470.47,2455.40,5827.06,66.06
10.04,39031.16,17693.54,6304.03,2674.53,3413.75,68.03
12.97,28047.23,9138.48,4438.06,2086.54,2452.43,66.88
15.90,7377.69,5088.47,2108.67,1771.56,3539.41,65.97
18.86,12320.66,6670.25,3110.64,1819.95,3190.25,67.47
21.79,9049.46,2912.28,2192.50,1757.20,2158.45,65.18
24.73,7108.49,3296.65,1710.83,1909.53,2174.52,64.47
27.68,7655.30,3801.17,2315.87,2079.46,2768.35,65.46
30.62,8342.00,5605.92,2062.08,2101.76,2828.46,65.92
33.54,10461.22,5680.27,3245.71,2269.07,2305.43,67.71
36.47,5577.73,2780.68,1118.89,1857.03,2356.04,62.36
39.37,3805.54,2234.38,1487.10,1934.39,2415.88,63.10
42.38,17275.80,6634.57,2841.42,1865.05,2495.76,66.23
45.24,19563.68,5158.63,2486.97,1563.84,2469.00,64.99
