time,DP,TP,AP,BP,GP,KI
3.69,19246.23,9968.41,6102.13,3238.72,1954.28,69.57
6.83,31271.49,9919.79,3687.20,2233.44,1669.23,66.13
10.01,15602.74,5972.65,2823.51,1937.73,1546.15,66.71
13.27,38191.84,14867.14,4737.00,2462.63,1551.06,67.20
16.68,32261.16,16736.24,6196.41,2438.84,1348.52,69.46
20.12,26385.76,7065.04,3094.06,1729.73,1424.41,65.79
23.41,6703.93,4646.57,2162.43,1626.22,1504.96,68.24
26.79,13413.29,8223.35,2566.69,2189.71,1519.86,67.59
30.21,7754.89,2860.19,1604.68,1363.30,1540.86,65.36
33.54,14027.07,8741.69,3170.69,1893.30,1546.93,68.89
