timestamps,TP9,AF7,AF8,TP10,Right AUX
1739045364.841,-166.992,-776.367,-543.457,198.242,0.000
1739045364.844,-159.668,-760.742,-529.297,196.777,0.000
1739045364.848,-147.461,-776.367,-558.594,193.359,0.000
1739045364.852,-139.160,-808.594,-639.648,224.121,0.000
1739045364.856,-122.070,-923.828,-722.168,247.559,0.000
1739045364.860,-120.117,-927.734,-701.660,248.047,0.000
1739045364.864,-119.141,-999.512,-720.215,230.469,0.000
1739045364.868,-117.188,-1000.000,-803.223,241.699,0.000
1739045364.871,-74.707,-980.957,-808.594,236.816,0.000
1739045364.875,-69.824,-862.305,-612.793,176.758,0.000
1739045364.879,-84.961,-842.285,-635.254,185.059,0.000
1739045364.883,-67.871,-947.754,-673.828,217.285,0.000
1739045364.887,-46.875,-916.016,-596.680,170.410,0.000
1739045364.891,-23.926,-815.430,-540.527,106.934,0.000
1739045364.895,-15.625,-853.027,-570.801,95.215,0.000
1739045364.899,30.762,-956.543,-598.633,84.961,0.000
1739045364.903,84.473,-884.766,-511.230,95.215,0.000
1739045364.907,77.637,-916.992,-529.297,125.000,0.000
1739045364.911,86.426,-1000.000,-566.406,171.387,0.000
1739045364.914,146.484,-1000.000,-649.414,184.570,0.000
1739045364.918,123.047,-958.008,-591.797,183.594,0.000
1739045364.922,135.254,-724.121,-402.832,174.316,0.000
1739045364.926,189.941,-755.859,-470.703,131.348,0.000
1739045364.930,178.711,-877.930,-512.207,108.887,0.000
1739045364.934,197.754,-749.512,-441.406,113.281,0.000
1739045364.938,193.359,-707.520,-419.434,128.906,0.000
1739045364.942,174.805,-853.516,-510.254,148.438,0.000
1739045364.946,191.406,-929.199,-539.062,142.578,0.000
1739045364.950,190.918,-835.449,-493.164,138.672,0.000
1739045364.954,211.426,-955.078,-577.637,163.086,0.000
1739045364.957,235.840,-1000.000,-694.824,151.855,0.000
1739045364.961,208.496,-954.590,-687.500,111.328,0.000
1739045364.965,171.875,-925.293,-538.086,104.980,0.000
1739045364.969,175.781,-875.488,-532.227,139.160,0.000
1739045364.973,197.266,-858.887,-519.531,140.625,0.000
1739045364.977,174.805,-849.609,-493.652,167.969,0.000
1739045364.981,123.047,-723.145,-457.520,147.949,0.000
1739045364.985,129.395,-730.957,-493.652,83.984,0.000
1739045364.989,111.328,-869.629,-524.902,92.773,0.000
1739045364.993,56.641,-802.246,-449.707,112.305,0.000
1739045364.996,71.777,-725.586,-483.887,113.281,0.000
1739045365.000,93.750,-927.734,-568.359,149.902,0.000
1739045365.004,56.641,-1000.000,-641.602,188.965,0.000
1739045365.008,46.387,-973.633,-587.402,187.012,0.000
1739045365.012,34.668,-766.113,-439.941,174.805,0.000
1739045365.016,-3.906,-757.324,-509.277,131.348,0.000
1739045365.020,12.695,-864.258,-531.250,121.582,0.000
1739045365.024,38.574,-803.223,-520.996,175.781,0.000
1739045365.028,2.441,-859.375,-534.180,171.875,0.000
1739045365.032,-45.410,-916.016,-548.340,125.977,0.000
1739045365.036,-34.180,-915.527,-601.562,138.672,0.000
1739045365.040,-30.273,-783.203,-530.762,131.348,0.000
1739045365.044,-31.250,-790.527,-506.348,116.211,0.000
1739045365.047,-7.324,-954.590,-674.316,157.715,0.000
1739045365.051,11.719,-967.285,-713.379,188.965,0.000
1739045365.055,-8.301,-810.547,-510.254,149.902,0.000
1739045365.059,-18.555,-706.543,-475.098,196.777,0.000
1739045365.063,0.000,-868.164,-606.445,234.863,0.000
1739045365.067,-30.762,-957.520,-631.836,160.156,0.000
1739045365.071,-60.547,-766.113,-449.707,218.262,0.000
1739045365.075,-70.312,-721.191,-478.516,237.793,0.000
1739045365.079,-85.938,-872.070,-533.203,136.230,0.000
1739045365.083,-72.266,-821.777,-492.676,115.723,0.000
1739045365.087,-70.312,-819.824,-524.414,119.629,0.000
1739045365.090,-51.758,-920.898,-553.223,152.344,0.000
1739045365.094,-16.602,-925.781,-590.332,173.340,0.000
1739045365.098,-43.457,-1000.000,-588.379,206.055,0.000
1739045365.102,-55.664,-967.285,-559.082,203.125,0.000
1739045365.106,-36.133,-926.270,-568.848,101.562,0.000
1739045365.110,-50.293,-942.871,-584.473,96.680,0.000
1739045365.114,-43.457,-861.816,-543.945,117.676,0.000
1739045365.118,-18.066,-749.512,-500.000,104.492,0.000
1739045365.122,-1.953,-849.121,-579.590,123.047,0.000
1739045365.126,33.203,-989.746,-668.457,103.027,0.000
1739045365.130,50.781,-820.801,-520.020,37.598,0.000
1739045365.133,31.250,-639.648,-437.500,113.770,0.000
1739045365.137,-11.719,-783.203,-559.570,167.969,0.000
1739045365.141,-28.809,-994.629,-636.230,55.664,0.000
1739045365.145,18.066,-996.582,-563.965,49.316,0.000
1739045365.149,60.547,-821.777,-452.148,71.777,0.000
1739045365.153,63.477,-831.055,-540.527,83.008,0.000
1739045365.157,58.105,-911.621,-607.422,117.676,0.000
1739045365.161,78.613,-667.480,-413.574,109.863,0.000
1739045365.164,86.914,-667.480,-449.219,89.844,0.000
1739045365.169,58.594,-798.828,-458.008,103.516,0.000
1739045365.173,49.316,-760.254,-427.734,116.211,0.000
1739045365.177,44.922,-632.812,-417.480,106.934,0.000
1739045365.180,63.477,-657.715,-452.637,119.141,0.000
1739045365.184,97.656,-834.473,-505.859,148.438,0.000
1739045365.188,52.734,-961.426,-525.879,161.621,0.000
1739045365.192,62.500,-963.379,-549.805,120.117,0.000
1739045365.196,57.129,-970.703,-553.711,62.988,0.000
1739045365.200,84.473,-1000.000,-642.090,150.391,0.000
1739045365.204,109.375,-870.605,-573.730,185.547,0.000
1739045365.207,42.480,-827.148,-497.559,94.727,0.000
1739045365.211,42.480,-989.258,-593.262,59.082,0.000
1739045365.216,37.109,-884.277,-541.992,68.359,0.000
1739045365.219,1.953,-695.801,-442.871,89.355,0.000
1739045365.223,26.367,-618.652,-415.039,95.703,0.000
1739045365.227,59.082,-774.902,-493.164,100.586,0.000
1739045365.231,11.230,-883.789,-522.949,146.484,0.000
1739045365.235,-5.371,-852.539,-482.910,166.504,0.000
1739045365.239,-10.742,-949.219,-474.609,127.930,0.000
1739045365.243,-3.418,-969.727,-585.449,156.738,0.000
1739045365.247,39.551,-949.707,-636.719,133.301,0.000
1739045365.250,-25.879,-732.910,-412.109,69.824,0.000
1739045365.254,-72.754,-604.004,-408.691,99.121,0.000
1739045365.258,-48.340,-809.570,-478.027,125.488,0.000
1739045365.262,-35.645,-786.621,-437.988,118.652,0.000
1739045365.266,-38.086,-690.918,-447.754,76.660,0.000
